Lane,Special,200
Lane,Right,742
Lane,Left,432
Lane,Down,592
Down,Normal,57
Right,Normal,92
Right,Hold,106
Down,Normal,196
Left,Normal,231
Special,SpeedUp,251
Down,Normal,388
Right,Normal,423
Right,Hold,441
Down,Normal,531
Left,Normal,565
Special,SlowDown,586
Down,Bomb,575
Down,Normal,647
Down,Normal,663
Down,Hold,678
Left,Normal,777
Left,Normal,805
Left,Hold,825
Right,Bomb,875
Right,Normal,920
Right,Normal,946
Right,Hold,964
Down,Normal,1060
Left,Normal,1087
Left,Hold,1115
Special,DoubleScore,1185
Down,Normal,1211
Right,Normal,1237
Right,Hold,1253
Down,Normal,1346
Left,Normal,1374
Left,Hold,1397
Down,Normal,1503
Right,Normal,1522
Right,Hold,1541
Left,Normal,1631
Right,Normal,1631
Left,Normal,1655
Right,Normal,1655
Left,Hold,1680
Right,Hold,1680
